Name,Reference,Link,Description,Image,Price,Availability,category,seller,Type,color,Systéme d'exploitation,CPU Type,CPU,GPU Type,GPU,RAM,Storage,Taille écran,Ecran tactile,Resolution,Garantie,CPU Ref,_id,Poids,Points Forts,Connectique,Caméra,Batterie,Description clavier,Taux De Rafraîchissement,Type mémoire,WiFi,Bluetooth,*Connectique,* fréquence de rafraîchissement,*Poids,Dimensions,Connecteurs,*Systéme d'exploitation,Type Stockage,Type écran,Audio,Technical Specs,Seller,Operating System,GPU Ref,Display,Type Ecran,Ecran Tactile,Réseau,Color,Taux de Rafraîchissement,Gamer,Lecteurs/Graveurs,Son,Type de batterie,Connectivités,Ecran,Spécificités
"Pc Portable Lenovo Ideapad 1 15IGL7, intel celeron, 8G, 15.6"" HD -Bleu",Réf. 82V700EJFG,https://www.scoop.com.tn/16308-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-8g-156-hd-bleu.html,"Pc portable Lenovo IDEAPAD 1 15IGL7, Processeur: Intel Celeron Dual-Core (1.10 GHz Up to 2,80 GHz, 4Mo de mémoire cache), Mémoire Ram: 8",https://www.scoop.com.tn/46034-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-8g-156-hd-bleu.jpg,799,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Bleu,Windows 11 Home,INTEL,Intel Celeron,INTEL,Intel UHD,8.0,256 Go SSD,15.6 pouces,Non,1366x768 (HD),2 ans,,664d17f4d60664ebcc6d906b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pc Portable Lenovo Ideapad 1 15IGL7, intel celeron, 8Go, 256Go ssd, 15.6"" HD",Réf. 82V700EFFG,https://www.scoop.com.tn/16307-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-8go-256go-ssd-156-hd.html,"Pc portable Lenovo IDEAPAD 1 15IGL7, Processeur: Intel Celeron Dual-Core (1.10 GHz Up to 2,80 GHz, 4Mo de mémoire cache), Mémoire Ram: 8",https://www.scoop.com.tn/46016-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-8go-256go-ssd-156-hd.jpg,799,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Gris,Windows 11 Home,INTEL,Intel Celeron,INTEL,Intel UHD,8.0,256 Go SSD,15.6 pouces,Non,1366x768 (HD),2 ans,,664d17f4d60664ebcc6d906c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pc Portable Asus Chromebook CX1 (CX1400), Celeron N3350, 8Go, 14"" FHD",Réf. 90NX03K2-M01090,https://www.scoop.com.tn/15827-pc-portable-asus-chromebook-cx1-cx1400-celeron-n3350-8go-14-fhd.html,"PC Portable Asus Chromebook CX1400CNA-EK0101, CPU Intel Celeron N3350 Dual core (1.1GHz up to 2.4GHz 2Mo smart cache), Mémoire RAM 8Go LPDDR4, Stockage",https://www.scoop.com.tn/43355-home_default/pc-portable-asus-chromebook-cx1-cx1400-celeron-n3350-8go-14-fhd.jpg,939,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Silver,Chrome,INTEL,Intel Celeron,INTEL,Intel HD 500,8.0,32 Go eMMC,14 pouces,Non,1366x768 (HD),2 ans,,664d17f4d60664ebcc6d906d,1.47Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pc Portable Lenovo Ideapad 1 15AMN7, Ryzen 3, 8Go, 256G ssd, 15.6"" HD",Réf. 82VG00MHFG,https://www.scoop.com.tn/16310-pc-portable-lenovo-ideapad-1-15amn7-ryzen-3-8go-256g-ssd-156-hd.html,"Pc portable Lenovo IDEAPAD 1 15AMN7, Processeur: AMD Ryzen™ 3 7320U Quad-Core (2.4 GHz Up to 4,1 GHz, 6Mo de mémoire cache), Mémoire Ram: 8",https://www.scoop.com.tn/46045-home_default/pc-portable-lenovo-ideapad-1-15amn7-ryzen-3-8go-256g-ssd-156-hd.jpg,1039,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Gris,Windows 11 Home,AMD,Amd Ryzen 3,AMD Radeon,AMD Radeon 610M,8.0,256 Go SSD,15.6 pouces,Non,1366x768 (HD),2 ans,AMD Ryzen™ 3 7320U Quad,664d17f4d60664ebcc6d906e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pc Portable Lenovo Ideapad Slim 3 15AMN8, Ryzen 3, 8Go, 256G ssd, 15.6""",Réf. 82XQ00DMFG,https://www.scoop.com.tn/16100-pc-portable-lenovo-ideapad-slim-3-15amn8-ryzen-3-8go-256g-ssd-156.html,"Pc portable lenovo IdeaPad Silm 3 15AMN8, Processeur : AMD Ryzen™ 3 7320U Quad Core (2.4 GHz up to 4.1 GHz Turbo max, 6Mo de mémoire cache), Mémoire : 8Go...",https://www.scoop.com.tn/44006-home_default/pc-portable-lenovo-ideapad-slim-3-15amn8-ryzen-3-8go-256g-ssd-156.jpg,1049,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Gris,Windows 11 Home,AMD,Amd Ryzen 3,AMD Radeon,AMD Radeon 610M,8.0,256 Go SSD,15.6 pouces,Non,1920x1080 (FHD),2 ans,,664d17f4d60664ebcc6d906f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pc Portable Lenovo Ideapad 1 15IAU7, i3-12ème, 8G, 256G ssd, 15.6"" FHD -Gris",Réf. 82QD00E7FG,https://www.scoop.com.tn/16312-pc-portable-lenovo-ideapad-1-15iau7-i3-12eme-8g-256g-ssd-156-fhd-gris.html,"Pc portable Lenovo IDEAPAD 1 15IAU7, Processeur: Intel i3-1215U Hexa-Core (Up to 4,40 GHz, 10Mo de mémoire cache), Mémoire: 8",https://www.scoop.com.tn/46066-home_default/pc-portable-lenovo-ideapad-1-15iau7-i3-12eme-8g-256g-ssd-156-fhd-gris.jpg,1069,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Gris,Windows 11 Home,INTEL,Intel Core i3,INTEL,Intel UHD,8.0,256 Go SSD,15.6 pouces,Non,1920x1080 (FHD),2 ans,Intel i3-1215U,664d17f4d60664ebcc6d9070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pc Portable Lenovo Ideapad 1 15IAU7, i3-12ème, 8G, 256G ssd, 15.6"" FHD -Bleu",Réf. 82QD00E6FG,https://www.scoop.com.tn/16311-pc-portable-lenovo-ideapad-1-15iau7-i3-12eme-8g-256g-ssd-156-fhd-bleu.html,"Pc portable Lenovo IDEAPAD 1 15IAU7, Processeur: Intel i3-1215U Hexa-Core (Up to 4,40 GHz, 10Mo de mémoire cache), Mémoire Ram: 8",https://www.scoop.com.tn/46058-home_default/pc-portable-lenovo-ideapad-1-15iau7-i3-12eme-8g-256g-ssd-156-fhd-bleu.jpg,1069,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Bleu,Windows 11 Home,INTEL,Intel Core i3,INTEL,Intel UHD,8.0,256 Go SSD,15.6 pouces,Non,1920x1080 (FHD),2 ans,Intel i3-1215U,664d17f4d60664ebcc6d9071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pc Portable Asus Vivobook 15 X1504VA, I3-13ème, 4 Go, 256 Go ssd, 15.6"" FHD -Bleu",Réf. X1504VA-NJ519W,https://www.scoop.com.tn/16408-293-pc-portable-asus-vivobook-15-x1504va-i3-13eme-4-go-256-go-ssd-156-fhd-bleu.html#/38-ram-4_go,"PC Portable Asus VIVOBOOK 15 X1504VA, Processeur intel i3-1315U Hexa Core (Up to 4.5GHz Turbo max, 10 Mo intel smart cache),",https://www.scoop.com.tn/46969-home_default/pc-portable-asus-vivobook-15-x1504va-i3-13eme-4-go-256-go-ssd-156-fhd-bleu.jpg,1095,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Bleu Espace,Windows 11 Home,INTEL,Intel Core i3,INTEL,Intel UHD,4.0,256 Go SSD,15.6 pouces,Non,1920x1080 (FHD),,intel i3-1315U,664d17f4d60664ebcc6d9072,1.70 Kg,✔ Clavier Asus ErgoSense | ✔ Charnière à 180° | ✔ Cache-cam physique  |  ✔ Asus AI Noise-Canceling | ✔ Asus Antimicrobial Guard Plus,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x 3.5mm Combo Audio Jack,1x DC-in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pc Portable Asus Vivobook 15 X1504VA, I3-13ème, 4Go, 256Go ssd, 15.6"" FHD",Réf. X1504VA-NJ520W,https://www.scoop.com.tn/16140-290-pc-portable-asus-vivobook-15-x1504va-i3-13eme-4go-256go-ssd-156-fhd.html#/38-ram-4_go,"PC PORTABLE ASUS VIVOBOOK 15 X1504VA, Processeur: i3-1315U Hexa Core (Up to 4.5GHz Turbo max, 10Mo Mémoire cache),",https://www.scoop.com.tn/44326-home_default/pc-portable-asus-vivobook-15-x1504va-i3-13eme-4go-256go-ssd-156-fhd.jpg,1095,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Silver,Windows 11 Home,INTEL,Intel Core i3,INTEL,Intel UHD,4.0,256 Go SSD,15.6 pouces,Non,1920x1080 (FHD),,,664d17f4d60664ebcc6d9073,1.70Kg,✔ Clavier Asus ErgoSense | ✔ Charnière à 180° | ✔ Cache-cam physique  |  ✔ Asus AI Noise-Canceling | ✔ Asus Antimicrobial Guard Plus,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x 3.5mm Combo Audio Jack,1x DC-in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pc Portable Asus Chromebook 15 (CX1500), Intel Pentium, 8Go, 15.6"" FHD",Réf. 90NX03Y2-M00240,https://www.scoop.com.tn/15828-pc-portable-asus-chromebook-15-cx1500-intel-pentium-8go-156-fhd.html,"PC Portable Asus Chromebook CX1500CKA-EJ0021, CPU Intel Pentium Silver N6000 Quad core (1.1GHz to 3.3GHz 4Mo smart cache), Mémoire RAM 8Go LPDDR4X",https://www.scoop.com.tn/43362-home_default/pc-portable-asus-chromebook-15-cx1500-intel-pentium-8go-156-fhd.jpg,1129,Disponible Livraison Gratuite,Laptops,Scoop Informatique,Ordinateur Portable,Silver,,INTEL,Intel Pentium,INTEL,Intel UHD,8.0,32 Go eMMC,15.6 pouces,Non,1920x1080 (FHD),2 ans,,664d17f4d60664ebcc6d9074,1.80Kg,Charnière 180°,"2xUSB-A 3.2 Gen1, 2xUSB-C 3.2 Gen1, 1xaudio Jack, Lecteur De Carte MicroSD.",Caméra HD 720p,"38 W/h, 2S1P, 2 cellules Li-ion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
